"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","threshold","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/07-22:54:51 - Trial_44","finished","-","","","2024-11-08T04:17:10.000Z","38","","false","96","35","448","0.004990611037160886","","Adadelta","4","0.2427902490422486","0.0009350857783673276","35","0.6467091295116772","0.6226194144838213","0.6472484673638659","0.6983098591549296","0.4820461475849151","0.6370454223857365","0.6163330163774643","0.6500211954217889","0.7033380843655348","0.4709450715296977"
"11/07-22:54:51 - Trial_43","finished","-","","","2024-11-08T04:16:40.000Z","28","","false","64","43","384","0.00203990651211865","","RMSprop","3","0.4534941292128648","0.00039604457894791225","14","0.7830148619957538","0.6982828973446549","0.7010019147976048","0.6957868538912055","0.6489947559060277","0.99702844205462","0.9959839716068276","0.9964688394762736","0.995501394875242","0.05884012735977366"
"11/07-22:54:51 - Trial_42","finished","-","","","2024-11-08T04:16:10.000Z","29","","false","128","32","384","0.08375074082480204","","RMSprop","5","0.3254250716781884","0.00024030259082339449","20","0.767303609341826","0.7046008057132394","0.6965639337721923","0.7167259611396115","0.594459554082469","0.9504740342436676","0.9356829915296934","0.9184893433418098","0.9577833625662102","0.21402852343661444"
"11/07-22:54:51 - Trial_41","finished","-","","","2024-11-08T04:15:43.000Z","26","","false","96","25","384","0.005123928147137626","","RMSprop","4","0.3550063996405691","0.000613181314050413","13","0.7745222929936306","0.7083126027345497","0.701174225415357","0.7180957953706824","0.5476456940174103","0.972972972972973","0.9640283517339996","0.9554865723300836","0.9734632765167166","0.1451926715672016"
"11/07-22:54:51 - Trial_40","finished","-","","","2024-11-08T04:15:16.000Z","25","","true","128","22","384","0.000026784303085334692","","RMSprop","3","0.794036544394504","0.000350358031542817","11","0.743524416135881","0.42644909887968824","0.3717622080679405","0.5","0.4767254198852338","0.760294325739352","0.4319131832797427","0.380147162869676","0.5","0.4394067430070469"
"11/07-22:54:51 - Trial_39","finished","-","","","2024-11-08T04:14:39.000Z","36","","false","160","36","384","0.00026282243777516964","","Adagrad","4","0.15595189551718297","0.00020591929103061697","36","0.5927813163481953","0.584319643431989","0.6584258853995696","0.7034646102679407","0.4315729280312856","0.6490731569265601","0.6384928237994714","0.6985533073059478","0.7615125992900982","0.35271100136968825"
"11/07-22:54:51 - Trial_38","finished","-","","","2024-11-08T04:14:13.000Z","24","","false","128","28","320","0.0009725609213970152","","Adadelta","8","0.7062387812143626","0.0015080686339902988","11","0.7634819532908705","0.4329400433421623","0.38174097664543527","0.5","0.6421206373917429","0.753643696052073","0.429758734769628","0.3768218480260365","0.5","0.6445361397096089"
"11/07-22:54:51 - Trial_37","finished","-","","","2024-11-08T04:13:39.000Z","32","","true","192","45","448","0.00006807610715254228","","RMSprop","7","0.6165791171992024","0.00012052593233371254","29","0.8016985138004247","0.6806223274115913","0.7531324867125287","0.6585955120129188","0.46696754143788266","0.9201924437526532","0.8797907415248871","0.9343285773596752","0.8462080704555965","0.18980991920909365"
"11/07-22:54:51 - Trial_36","finished","-","","","2024-11-08T04:13:13.000Z","24","","false","160","27","448","0.00001694135430586647","","Adagrad","6","0.2895235303074736","0.0008012882230466509","11","0.2441613588110403","0.1962457337883959","0.12208067940552016","0.5","0.633726421991984","0.2438092542804585","0.19601820250284416","0.12190462714022925","0.5","0.6340505798657735"
"11/07-22:54:51 - Trial_35","finished","-","","","2024-11-08T04:12:40.000Z","31","","false","128","23","320","0.00013855966357502792","","RMSprop","5","0.8802704316349432","0.0004320353043190598","23","0.786411889596603","0.5981093686439369","0.7455389958346206","0.59050481807544","0.5629886749543642","0.8566577048252441","0.7491865583574987","0.920273886352904","0.7067168500289519","0.09685331543109246"
"11/07-22:54:51 - Trial_34","finished","-","","","2024-11-08T04:12:15.000Z","24","","false","160","23","384","0.0005562702117773853","","Adadelta","5","0.3859558046333051","0.001185336509447426","11","0.25010615711252654","0.2000679347826087","0.12505307855626327","0.5","0.6635506391525269","0.2418282156502052","0.19473564266180493","0.1209141078251026","0.5","0.6621220522456699"
"11/07-22:54:51 - Trial_33","finished","-","","","2024-11-08T04:11:48.000Z","25","","false","128","22","384","0.0006988126299562846","","RMSprop","5","0.3792072180290593","0.0004209690605290446","13","0.7847133757961784","0.7151161417365106","0.7106048781580696","0.7204250122129946","0.5667539568323838","0.9741049950474034","0.965522062186767","0.9575799025892302","0.9742263333171152","0.11893235985189676"
"11/07-22:54:51 - Trial_32","finished","-","","","2024-11-08T04:11:21.000Z","25","","false","160","30","384","0.002197052990337671","","RMSprop","4","0.4669216038878703","0.0005896271098589103","13","0.7825902335456476","0.7068571161835411","0.7091036414565826","0.7047673908272987","0.5371733864148458","0.9760860336776568","0.9670956873313508","0.9716670531572124","0.9627275674719746","0.1337207093834877"
"11/07-22:54:51 - Trial_31","finished","-","","","2024-11-08T04:10:55.000Z","24","","false","128","33","384","0.002447710105204552","","RMSprop","4","0.35565982800165974","0.00024586114823887473","11","0.780891719745223","0.7145990887312696","0.7068396120009024","0.7252985404688191","0.5552198212397726","0.9690108957124663","0.9590909981206694","0.948707413347612","0.9708796816576832","0.13058065649654185"
"11/07-22:54:51 - Trial_30","finished","-","","","2024-11-08T04:10:28.000Z","25","","false","128","25","320","0.0012324860124580436","","RMSprop","7","0.5523656569312223","0.003810638474070591","13","0.7940552016985138","0.6764033006339201","0.7302363216538827","0.6571321955015894","0.4425738328381589","0.8931654167256261","0.8379158623724516","0.8925142569555985","0.8062336305438255","0.2577305790036917"
